msize	ar_socketdisabled0alg6_scotch0	ar_socketdisabled0alg4_scotch0	ar_socketdisabled0alg3_scotch0	ar_socketdisabled0alg0_scotch0	ar_socketdisabled0alg0_scotch1	ar_socketdisabled1alg0_scotch0	ar_coredisabled0alg6_scotch0	ar_coredisabled0alg4_scotch0	ar_coredisabled0alg3_scotch0	ar_coredisabled0alg0_scotch0	ar_coredisabled0alg0_scotch1	ar_coredisabled1alg0_scotch0	ar_nodedisabled0alg6_scotch0	ar_nodedisabled0alg4_scotch0	ar_nodedisabled0alg3_scotch0	ar_nodedisabled0alg0_scotch0	ar_nodedisabled0alg0_scotch1	ar_nodedisabled1alg0_scotch0	bc_socketdisabled0alg5_scotch0	bc_socketdisabled0alg7_scotch0	bc_socketdisabled0alg8_scotch0	bc_socketdisabled0alg0_scotch0	bc_socketdisabled0alg0_scotch1	bc_socketdisabled1alg0_scotch0	bc_coredisabled0alg5_scotch0	bc_coredisabled0alg7_scotch0	bc_coredisabled0alg8_scotch0	bc_coredisabled0alg0_scotch0	bc_coredisabled0alg0_scotch1	bc_coredisabled1alg0_scotch0	bc_nodedisabled0alg5_scotch0	bc_nodedisabled0alg7_scotch0	bc_nodedisabled0alg8_scotch0	bc_nodedisabled0alg0_scotch0	bc_nodedisabled0alg0_scotch1	bc_nodedisabled1alg0_scotch0
4096	295.17	288.7	327.93	288.7	467.03	247.31	280.94	288.1	319.58	280.94	498.03	245.39	285.37	286.85	312.69	285.37	489.41	289.74	31.04	25.43	63.33	25.43	36.79	28.79	32.06	27.29	81.44	27.29	39.31	28.24	35.67	26.26	50.48	26.26	39.38	78.47
8192	142	6553.58	624.46	142	948.71	525.03	154.12	6554.09	615.79	154.12	1010.14	502.9	182.6	6644.2	622.15	182.6	1012.31	568.65	45.82	34.54	76.39	34.54	57.27	40.07	46.81	35.65	95.69	35.65	57.8	38.64	50.16	34.07	55.02	34.07	64.74	137.91
16384	122.12	6437.33	1217.9	122.12	370.01	143.12	186.12	6406.78	1200.48	186.12	421.53	110.88	211.22	6514.04	1213.06	211.22	478.13	461.95	82.53	55.97	103.08	55.97	101.21	71.39	81.04	54.77	164.35	54.77	105.11	60.7	88.1	53.38	101.81	53.38	112.87	244
32768	154.45	6433.27	2468.85	154.45	772.32	209.5	165.74	6413.83	2409.78	165.74	728.24	177.91	167.74	6473.31	2455.5	167.74	715.59	715.86	123.32	88.03	164.24	88.03	211.77	118.08	117.85	89.51	284.71	89.51	219.81	97.9	128.08	85.94	92.16	85.94	229.83	472.72
65536	251.02	8206.71	4895.26	251.02	1393.43	357.31	266.66	8409.92	4878.43	266.66	1417.76	245.96	260.64	8240.1	4918.37	260.64	1503.32	1451.53	194.25	162.05	317.29	162.05	453.03	219.4	192.15	160.28	354.75	160.28	486.23	179.25	207.37	155.85	158.76	155.85	459.13	944.35
131072	458.71	7862.43	10232.52	458.71	2837.95	676.61	469.38	8024.81	9874.65	469.38	2811.81	438.24	479.1	7862.37	9888.19	479.1	2920.28	3464.61	317.65	351.91	668.01	317.65	1037.81	431.54	307.31	347	610.16	307.31	1000.4	363.49	322.83	358.11	212.32	212.32	1066.4	2408.62
262144	918.89	11750.7	17805.18	918.89	5685.22	1294.21	875.43	11451.26	17852.11	875.43	5567.14	856.37	882.79	11714.37	17735.5	882.79	5850.29	5657.69	547.31	698.46	1201.29	547.31	2270.1	2567.96	549.86	688.66	1231.01	549.86	2311.13	2560.48	578.68	682.33	322.45	322.45	2411.2	418.83
524288	1794.37	12943.61	35577.25	1794.37	11538.52	2369.24	1813.27	12919.56	35691.7	1813.27	11465.31	1724.02	1794.35	13090.98	35240.42	1794.35	11996.66	11717.45	1031.73	1386.23	2560.62	1031.73	4736.77	5550.21	1036	1371.6	2474.19	1036	4776.17	5547.72	1099.37	1353.35	576.47	576.47	4979.12	718.53
1048576	3832.67	16337.4	71801.43	3832.67	23305.53	5420.45	3836.74	16218.49	71861.24	3836.74	22799.65	3832.06	3860.05	16091.27	71098.16	3860.05	24215.39	22405.1	2025.74	2794.73	5031.38	2025.74	9712.48	11247.38	2042.43	2770.25	4942.14	2042.43	9594.88	11160.55	2151.1	2720.93	1181.59	1181.59	10007.8	1505.22
2097152	9159.39	19373.97	145316.07	9159.39	47163.69	10927.13	9504.91	19082.53	145150.33	9504.91	46021.45	9473.52	9344.52	19575.07	144557.6	9344.52	49221.18	41886.59	4229.63	5758.62	9824.86	4229.63	19841.23	23368.53	4280.27	5696.89	9719.08	4280.27	19796.1	23469.77	4470.63	5618.8	2406.49	2406.49	20744.58	2912.38
4194304	20190.43	31270.48	291835.87	20190.43	94766.61	21753.79	20228.85	30874.14	291751.02	20228.85	92319.91	20033.2	20342.4	30461.96	290143.77	20342.4	99688.24	85324.96	9768.39	11758.68	19702.22	9768.39	40030.82	48169.79	9771.1	11734.26	19745.37	9771.1	39852.11	48605.3	10211.43	11565.14	4946.07	4946.07	41879.48	5796.35
8388608	42027.37	53351.03	585155.98	42027.37	190686.43	43890.09	42200.15	53614.68	584772.37	42200.15	185782.22	41467.04	42380.15	52678.58	582632.72	42380.15	200693.72	168170.14	20466.9	22520.72	39682.19	20466.9	80880.72	96128.97	20344.08	22512.56	39655.71	20344.08	80719.14	96964.57	21336.49	22368.08	10371.14	10371.14	84545.19	11728.04
16777216	85594.95	90124.96	1168332.06	85594.95	382887.72	88562.02	85849.86	92314.98	1165887.39	85849.86	370975.99	84091.88	85870.95	90704.25	1164177.1	85870.95	402018.4	336812.97	41321.12	42173.5	80758.13	41321.12	161884.33	193203.78	41102.99	42219.97	80865.26	41102.99	162442.57	193612.4	43138.7	42136.71	20398.31	20398.31	168958.72	23010.06
