msize	ar_bycore_disabled0_alg6_scotch0	ar_bycore_disabled0_alg4_scotch0	ar_bycore_disabled0_alg3_scotch0	ar_bycore_disabled0_alg0_scotch0	ar_bycore_disabled0_alg0_scotch1	ar_bycore_disabled1_alg0_scotch0	ar_bynode_disabled0_alg6_scotch0	ar_bynode_disabled0_alg4_scotch0	ar_bynode_disabled0_alg3_scotch0	ar_bynode_disabled0_alg0_scotch0	ar_bynode_disabled0_alg0_scotch1	ar_bynode_disabled1_alg0_scotch0	ar_bysoc_disabled0_alg6_scotch0	ar_bysoc_disabled0_alg4_scotch0	ar_bysoc_disabled0_alg3_scotch0	ar_bysoc_disabled0_alg0_scotch0	ar_bysoc_disabled0_alg0_scotch1	ar_bysoc_disabled1_alg0_scotch0	bc_bycore_disabled0_alg5_scotch0	bc_bycore_disabled0_alg7_scotch0	bc_bycore_disabled0_alg8_scotch0	bc_bycore_disabled0_alg0_scotch0	bc_bycore_disabled0_alg0_scotch1	bc_bycore_disabled1_alg0_scotch0	bc_bynode_disabled0_alg5_scotch0	bc_bynode_disabled0_alg7_scotch0	bc_bynode_disabled0_alg8_scotch0	bc_bynode_disabled0_alg0_scotch0	bc_bynode_disabled0_alg0_scotch1	bc_bynode_disabled1_alg0_scotch0	bc_bysoc_disabled0_alg5_scotch0	bc_bysoc_disabled0_alg7_scotch0	bc_bysoc_disabled0_alg8_scotch0	bc_bysoc_disabled0_alg0_scotch0	bc_bysoc_disabled0_alg0_scotch1	bc_bysoc_disabled1_alg0_scotch0
65536	1379.84	99543.67	5146.76	1379.84	-1	619.69	1303.79	105803.04	5438.93	1303.79	-1	1493.24	1548.37	87940.88	5319.3	1548.37	-1	699.85	458.28	574.31	772.3	458.28	-1	459.85	478.87	633.95	680.1	478.87	-1	1071.97	491.56	685.94	734.66	491.56	-1	475.85
131072	2223.89	100484.26	10196.16	2223.89	-1	700.48	2118.6	107158.76	10900.51	2118.6	-1	2612.83	2634.79	89786.13	10313.26	2634.79	-1	752.34	883.96	1422.73	1253.02	883.96	-1	888.06	893.03	1264.7	1096.15	893.03	-1	2191.73	975.62	1621.73	1187.59	975.62	-1	932.02
262144	4178.99	104189.94	21479.63	4178.99	-1	915.7	3905.76	115289.52	21846.31	3905.76	-1	4778.43	4813.31	100781.12	20766.27	4813.31	-1	1191.32	1689.81	3470.64	2233.91	1689.81	-1	2090.16	1701.65	3038.79	1852.71	1701.65	-1	615.83	1908.39	4102.36	2170.55	1908.39	-1	1950.52
524288	7413.48	117861.65	42849.42	7413.48	-1	1468.59	7009.07	120014.37	43430.9	7009.07	-1	9405.9	8052.15	101498.29	40962.41	8052.15	-1	1840.15	3332.23	9839.28	3641.4	3332.23	-1	3669.27	3376.85	8782.33	3195.53	3195.53	-1	935.98	3804.9	11954.87	3719.09	3719.09	-1	3875.81
1048576	13823	116265.65	87283.9	13823	-1	2738.35	13125.9	125754.99	88011.68	13125.9	-1	19052.73	15231.73	103305.74	262718.51	15231.73	-1	3414.46	6777.2	23531.37	6716.9	6716.9	-1	7402.6	6878.57	22876.25	5898.07	5898.07	-1	1684.96	7873.15	28921.94	6962.4	6962.4	-1	7462.59
2097152	26700.89	127494.76	176820.93	26700.89	-1	5375.61	25982.64	139161.88	208371.41	25982.64	-1	37967.13	29598.45	230051.41	172825.34	29598.45	-1	6582.71	14516.2	53427.89	13145.96	13145.96	-1	15121.33	14772.89	56733.32	11702.22	11702.22	-1	3327.52	16957.85	61066.1	13564.72	13564.72	-1	15011.79
4194304	53047.26	146072.7	377480.87	53047.26	-1	11636.86	51565.72	162645.9	388969.95	51565.72	-1	77494.29	58935.08	134922.05	381581.1	58935.08	-1	13298.46	30459.03	113316.08	27084.66	27084.66	-1	32501.48	30669.57	122345.59	22537.88	22537.88	-1	6294.48	34248.72	125963.65	28289.94	28289.94	-1	32730.14
8388608	314348.99	254956.22	772507.6	254956.22	-1	22215.03	103046.43	272076.97	802891.3	103046.43	-1	189528.37	311035.74	217831.61	777578.96	217831.61	-1	25883.44	61744.1	226760.23	59187.65	59187.65	-1	73390.96	62216.22	247231.87	45942.14	45942.14	-1	12381.63	68832.02	246749.54	60845.04	60845.04	-1	71277.61
16777216	213345.94	433709.11	1587343.96	213345.94	-1	45789.67	204918.97	470512.5	1672918.99	204918.97	-1	332479.58	234522.97	452133.35	1719945.09	234522.97	-1	55286.9	121365.08	454689.7	126929.27	121365.08	-1	168249.98	123719.63	494284.22	92915.14	92915.14	-1	24613.1	136224.54	498778.3	133285.9	133285.9	-1	163516.6
33554432	531469.63	748227.04	3223153	531469.63	-1	133746.78	434513.27	803669.85	3369273.87	434513.27	-1	702332.01	478448.84	788694.18	3365312.71	478448.84	-1	147123.23	243205.97	908720.91	262482.13	243205.97	-1	373877.89	246971.25	976208.05	186216.97	186216.97	-1	48636.55	272190.19	982256.11	269998.09	269998.09	-1	397737.01
